Make,Model,Price,Year,Kilometer,Transmission,Location,Color,Owner,Seller Type,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM,Drivetrain_FWD,Drivetrain_RWD,Fuel Type_CNG + CNG,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_LPG,Fuel Type_Petrol,Fuel Type_Petrol + LPG
Volvo,S90 D4 Inscription,15.607270193858982,0.9411764705882353,7.8636512654486515,Automatic,Mumbai,Blue,1,Individual,1969.0,4963.0,1879.0,1443.0,5.0,55.0,187.0,4250.0,0.7659574468085106,1750.0,True,False,False,True,False,False,False,False,False
Maruti Suzuki,XL6 Zeta MT Petrol,14.034646891093473,0.9705882352941176,8.887376485379763,Manual,Udupi,White,1,Individual,1462.0,4445.0,1775.0,1700.0,6.0,45.0,103.0,6000.0,-0.34893617021276596,4400.0,True,False,False,False,False,False,False,True,False
Renault,Duster 110 PS RXL 4X2 AMT [2016-2017],13.560619598657233,0.8529411764705882,11.112462823634855,Automatic,Mumbai,White,1,Individual,1461.0,4315.0,1822.0,1695.0,5.0,50.0,108.0,3900.0,0.11914893617021277,2250.0,True,False,False,True,False,False,False,False,False
Maruti Suzuki,DZire VXi,13.437175577097312,0.9117647058823529,11.211833885608513,Manual,Pune,Blue,1,Individual,1197.0,3995.0,1735.0,1515.0,5.0,37.0,89.0,6000.0,-0.4553191489361702,4400.0,True,False,False,False,False,False,False,True,False
Porsche,Cayenne 3.2 V6 Petrol,15.096444681204078,0.7647058823529411,10.668978650219241,Automatic,Mumbai,White,2,Individual,,,,,,,,,,,False,True,False,False,False,False,False,True,False
Mahindra,Bolero SLE BS III,13.384729180332174,0.8529411764705882,11.034905792929415,Manual,Lucknow,White,1,Individual,2523.0,4107.0,1745.0,1880.0,7.0,,63.0,3200.0,-0.10638297872340426,1400.0,False,True,False,True,False,False,False,False,False
Mahindra,Thar LX 4-STR Hard Top Petrol MT,14.220976332738882,0.9705882352941176,8.987321812850125,Manual,Agra,Red,2,Individual,1997.0,3985.0,1820.0,1844.0,4.0,57.0,150.0,5000.0,0.3404255319148936,1250.0,False,False,False,False,False,False,False,True,False
Audi,A4 2.0 TDI Technology,13.955273369904273,0.7352941176470589,10.308985993422082,Automatic,Delhi,Silver,2,Individual,,,,,,,,,,,False,True,False,True,False,False,False,False,False
Honda,City 1.5 V MT,13.005831808336863,0.7058823529411765,11.6172944892629,Manual,Ernakulam,Red,1,Individual,1497.0,4440.0,1695.0,1485.0,5.0,42.0,116.0,6600.0,-0.3148936170212766,4800.0,True,False,False,False,False,False,False,True,False
Mahindra,XUV500 W8,13.51440681653079,0.7352941176470589,11.333272344730547,Manual,Hyderabad,Black,1,Individual,2179.0,4585.0,1890.0,1785.0,7.0,70.0,140.0,3750.0,0.46808510638297873,2800.0,True,False,False,True,False,False,False,False,False
Renault,Kwid RXT [2015-2019],12.676079399771027,0.8235294117647058,11.06665398721974,Manual,Mohali,Silver,1,Individual,799.0,3679.0,1579.0,1478.0,5.0,28.0,53.0,5678.0,-0.6297872340425532,4386.0,True,False,False,False,False,False,False,True,False
Toyota,Fortuner 2.8 4x2 AT [2016-2020],14.849051205633891,0.9117647058823529,11.177466714598282,Automatic,Delhi,White,2,Individual,2755.0,4795.0,1855.0,1835.0,7.0,80.0,174.0,3400.0,0.9787234042553191,1600.0,False,True,False,True,False,False,False,False,False
