Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM
Mahindra,Scorpio S10,13.73755009757506,0.8235294117647058,11.918397239722838,Diesel,Manual,Lucknow,White,First,Individual,0.7173496866032129,RWD,4456.0,1820.0,1995.0,1.0,60.0,120.0,4000.0,280.0,1800.0
Volkswagen,Polo Comfortline 1.2L (P),12.834683971615659,0.7352941176470589,10.571342565808699,Petrol,Manual,Delhi,Red,First,Individual,-0.7719645325288619,FWD,3970.0,1682.0,1453.0,0.5,45.0,74.0,5400.0,110.0,3750.0
Audi,A6 35 TDI Matrix,15.039286283703994,0.8823529411764706,10.839600519357369,Diesel,Automatic,Hyderabad,Red,First,Individual,0.3970180859540102,FWD,4933.0,1874.0,1455.0,0.5,75.0,190.0,3800.0,400.0,1750.0
Hyundai,Tucson GL 2WD AT Diesel,14.552674623940995,0.9117647058823529,10.34177474101152,Diesel,Automatic,Delhi,White,First,Individual,0.4380083855631499,FWD,4475.0,1850.0,1660.0,0.5,62.0,182.0,4000.0,400.0,1750.0
Maruti Suzuki,Ertiga LXI,13.586098651497313,0.8529411764705882,9.105090961257085,Petrol,Manual,Delhi,Grey,First,Individual,-0.5062866646918455,FWD,4296.0,1695.0,1685.0,0.8333333333333334,45.0,94.0,6000.0,130.0,4000.0
Maruti Suzuki,Alto LXi CNG [2014-2018],12.706850963741102,0.8529411764705882,11.05407540279458,CNG,Manual,Pimpri-Chinchwad,Grey,First,Individual,-1.0755963814854521,FWD,3545.0,1490.0,1475.0,0.3333333333333333,60.0,58.0,6000.0,78.0,3500.0
Ford,Ecosport Titanium 1.5L Ti-VCT,13.345508528717259,0.9117647058823529,10.78773018644139,Petrol,Manual,Kolkata,Blue,First,Individual,-0.31803491833875963,FWD,3998.0,1765.0,1647.0,0.5,52.0,121.0,6500.0,150.0,4500.0
Mercedes-Benz,A-Class Sedan 200d,15.226497775576945,1.0,8.249836485425702,Diesel,Automatic,Ahmedabad,White,UnRegistered Car,Individual,0.3696912195479171,FWD,4549.0,1796.0,1446.0,0.5,43.0,147.0,3400.0,320.0,1400.0
Audi,Q3 35 TDI Premium + Sunroof,14.343193888767015,0.7941176470588235,11.002116507732017,Diesel,Automatic,Delhi,White,Second,Individual,0.3970180859540102,AWD,4385.0,1831.0,1608.0,0.5,64.0,174.0,4200.0,380.0,1750.0
Maruti Suzuki,Swift VDi,13.28787951079572,0.7647058823529411,11.362114203075018,Diesel,Manual,Coimbatore,White,First,Individual,-0.6960565702897143,FWD,3850.0,1695.0,1530.0,0.5,42.0,74.0,4000.0,190.0,2000.0
